Date,Close,High,Low,Open,Volume
2015-01-02,169.68788146972656,170.88561066355808,168.65536499501724,170.47260407367435,121465900
2015-01-05,166.62335205078125,168.81228157325947,166.31773125812248,168.64708148544278,169632600
2015-01-06,165.0538787841797,167.4493107905881,164.26090097427732,166.92891870896608,209151400
2015-01-07,167.11073303222656,167.44940147841223,165.92954017391855,166.37558176833852,125346700
2015-01-08,170.0760498046875,170.29082122362388,168.49837475641723,168.5148859394458,147217800
2015-01-09,168.7132110595703,170.50565835002882,168.1019566999452,170.48913455545457,158567300
2015-01-12,167.39154052734375,169.0022760675028,166.78855452639888,168.84533157044453,144396100
2015-01-13,166.92071533203125,169.72915460451395,165.62386881945937,168.60577637472915,214553300
2015-01-14,165.91297912597656,166.11122679229365,164.0214148168744,164.91349780540452,192991100
2015-01-15,164.39312744140625,166.86289849504993,164.2774861138506,166.54902209394717,176613900
2015-01-16,166.54896545410156,166.7059099032591,164.004844509121,164.18656833404498,211879600
2015-01-20,166.9042205810547,167.44939230299863,165.34305618018672,167.18506203637338,130991100
2015-01-21,167.74668884277344,168.22577780182866,165.9790218716173,166.4415870447863,122942700
2015-01-22,170.24130249023438,170.37345500531438,167.12722961914895,168.49841437027467,174356000
2015-01-23,169.3079071044922,170.24130594621263,169.1757419827697,169.9852312963904,117516800
2015-01-26,169.7043914794922,169.7952534260455,168.3827780615787,169.09314984264265,92009700
2015-01-27,167.46591186523438,168.6058014503683,166.63989870883796,167.6558913620966,134044600
2015-01-28,165.31820678710938,168.74615497955716,165.12822736589717,168.64703747352567,168514300
2015-01-29,166.8463897705078,167.1024518135914,164.1122758358799,165.51650818201227,173585400
2015-01-30,164.748291015625,166.99504739330268,164.48397340858196,165.67343415017112,197729700
2015-02-02,166.78855895996094,166.87942090257002,163.4349478846863,165.24391853956578,163107000
2015-02-03,169.200439453125,169.20870764670462,167.30887590457252,167.68057910100075,124212900
2015-02-04,168.55621337890625,169.64655660572535,168.10190370106497,168.44057206127013,134306700
2015-02-05,170.25778198242188,170.40647086465165,169.14267208350574,169.21701022264207,97953200
2015-02-06,169.7869873046875,171.18295139519486,169.26659504269838,170.62125595934074,125672000
2015-02-09,169.0270233154297,169.86129180480972,168.6222724580705,169.1426646169671,87219000
2015-02-10,170.8277587890625,171.08382082082983,169.06834693936443,170.0595726937605,96164200
2015-02-11,170.9268341064453,171.35636432033186,170.0182275279404,170.6625165467923,91087800
2015-02-12,172.5706024169922,172.62842936615894,170.95987988674725,171.7198101932229,97545900
2015-02-13,173.281005859375,173.33056462266381,172.43846907159076,172.69454368851316,93670400
2015-02-17,173.5535430908203,173.72701131774258,172.71927473303418,172.96706848013085,76968200
2015-02-18,173.57009887695312,173.64443701478808,172.91754161207228,173.1818717963169,80652900
2015-02-19,173.44622802734375,173.80967580969232,172.83498639699363,172.97540711218107,91462500
2015-02-20,174.4870147705078,174.56135292583096,172.41371378745657,173.0332236230692,140896400
2015-02-23,174.46221923828125,174.46221923828125,173.85922064591023,174.2391921889939,74411100
2015-02-24,174.95779418945312,175.15604182724803,174.09047810454112,174.38784325925505,72472300
2015-02-25,174.80914306640625,175.31301152317158,174.4704746962613,174.83392244920137,73061700
2015-02-26,174.60256958007812,174.87515528514623,173.99957123070615,174.7182108545961,72697900
2015-02-27,174.00787353515625,174.76780386009438,173.95831477978405,174.50347369283446,108076000
2015-03-02,175.10650634765625,175.16432070555928,174.05746627296082,174.10702503800874,87491400
2015-03-03,174.3878936767578,175.1560924668457,173.52884553919984,174.67700332329895,110325800
