Date,Close,High,Low,Open,Volume
2015-01-02,59.405399322509766,59.43415032452183,59.24008243186361,59.24727155328986,2218800
2015-01-05,59.57792663574219,59.59948852602173,59.44136068571122,59.47011170064908,5820100
2015-01-06,59.75038528442383,59.93007488883425,59.67851053939797,59.67851053939797,3887600
2015-01-07,59.786338806152344,59.85821356729646,59.69290216503427,59.75758780495614,2433400
2015-01-08,59.692909240722656,59.73603300578224,59.635407231514264,59.73603300578224,1873400
2015-01-09,59.79352569580078,59.865400454262435,59.656959816138844,59.66414893709278,1646100
2015-01-12,59.87260437011719,59.894166254614504,59.800724110200896,59.83666424015904,4397900
2015-01-13,59.93009567260742,59.99478680414967,59.82228625952607,59.87978278527164,2223400
2015-01-14,60.0666618347168,60.17447673195937,60.052289074141406,60.116974722270875,2481200
2015-01-15,60.33261489868164,60.346987661730275,60.052299407830844,60.052299407830844,4214500
2015-01-16,60.15293884277344,60.26793742432708,60.07387491883846,60.23918640801475,3631300
2015-01-20,60.088253021240234,60.253570008793034,60.066691128015115,60.160127826556,3029500
2015-01-21,59.97325134277344,60.2320050155496,59.96606221750302,60.22481589027919,2473900
2015-01-22,59.98757553100586,60.10976314317463,59.92288990704289,60.10976314317463,2157400
2015-01-23,60.18165969848633,60.21040521669691,60.09540669277585,60.116968573280246,6255000
2015-01-26,60.10978698730469,60.19604000382793,60.073852343190204,60.18166724292085,7810500
2015-01-27,60.145729064941406,60.29666773598007,60.109788935968204,60.27510585207366,1154100
2015-01-28,60.36140441894531,60.44046289169357,60.1026506494302,60.11702342164864,1394600
2015-01-29,60.296661376953125,60.35416338376844,60.203224728648124,60.332601502135994,1551300
2015-01-30,60.62728500366211,60.62728500366211,60.45478448024491,60.51947012014157,10474400
2015-02-02,60.55527877807617,60.62729870369359,60.432844355049745,60.461647929482226,6070500
2015-02-03,60.368019104003906,60.49045351998935,60.33200639588217,60.4472426660575,1237200
2015-02-04,60.3896369934082,60.39684063547271,60.18077533168906,60.24559712073172,2945700
2015-02-05,60.25996398925781,60.324785740736075,60.21675315144947,60.27437126503776,2128200
2015-02-06,59.871036529541016,60.07989802335544,59.85663475175859,60.05108897302609,2907700
2015-02-09,59.84946823120117,59.986309931437006,59.82065916300584,59.97190264995538,1384600
2015-02-10,59.74139404296875,59.806215775010145,59.70538685384718,59.77740672685442,1447900
2015-02-11,59.74139404296875,59.813419410740096,59.69818321811722,59.77740672685442,1904000
2015-02-12,59.77023696899414,59.84946052263538,59.748631544322386,59.77023696899414,4662900
2015-02-13,59.63338851928711,59.79903373755527,59.63338851928711,59.79903373755527,1883000
2015-02-17,59.39573287963867,59.633403551604125,59.374127453963176,59.61899627130881,5281500
2015-02-18,59.56137466430664,59.64780185673316,59.4101311986356,59.48215111160745,3813000
2015-02-19,59.5109977722168,59.640635895372746,59.489392334152576,59.59022137496603,1322700
2015-02-20,59.52537536621094,59.69102063858399,59.438948162298125,59.59739528875435,3145800
2015-02-23,59.64781951904297,59.69823402252822,59.59740501555772,59.63341773009094,3952700
2015-02-24,59.89265823364258,59.93586906954284,59.546955062144,59.64778400908828,2542200
2015-02-25,59.95028305053711,59.964690328612924,59.83505229976372,59.88546678349582,4934600
2015-02-26,59.784664154052734,59.95030946153296,59.77746051184128,59.87828952372551,2187500
2015-02-27,59.8350715637207,59.85667699302369,59.72703892243739,59.79905885170347,4094400
